key,plaintext,ciphertext
9724632fd152e56fbafc9e11fe6a00b3,bda01546ca6b8f0376d82d67a178bf3ae9b9695703c99d58ab05a684345fa558,f9a3dded8f2c236d708f42680abfb05a77bc4c623829df77e1b0acda8f5261cd
1d9ba997a56f464cbf1d8cff17e2f805,36bca128a15e68a4e3f49f65e0164f332e14ff16304bf8d1b743bff9802b2c9f,21f9532d8ce6de40893731c8a46341d4779e827efa563e2f43d50859f1a2a779
d15965dec1f958289c6ff4f700647456,21bdce640ffb4943a643ccebe84398c89acce313be8468da01a46075a66c551c,21daa2a3676b78773d82b46deed405d3efcc11f08143d95af7c03c01bccb34c3
d45e91ec2dd36ca98d8fb03a898126a6,ad8457fbb5d88e59e266aaade603108b749b7b497e1185a02d6f78fbed8015ec,730b23eecbd84fade88db5990609402e25582a6d8757cb8575520061cae5db66
aa3481e407e02aeda9699debfa83c4a7,f3630ecf7173eae0f2346e42db2d0b5f82de30822fec34296fed6b3682f18c03,e1a495c4244bd6bd9b5abc6ded43e0047e508f62d814ce43c5668235a833901d
0b0ca6cb0cba575e4cb516ee3fb813b1,437b2576a6688dbff748cdc8dadd98e22eae427857420a2e56af6dc923ebc590,928355962b1251cf565c726531b80a747c176eaf644df8ac8695d4d202a27c8a
f8da8465c75f5736c574df45e2e81a3f,eb63c4c0822bd300735272674ab4865386fe9dc1178ae79ab7619c1bbfbce16d,f592673727d3b1ba685887a721206220d521d72c09ff773a299382aac695dacb
9c090c5eee85e3e1d30a340daf9ace50,a38f95e40c056f197f757d4d0437cbf13badd7277bf4ee12a842bac123b9707e,c8b2d1cc9aa795afcec6447b28d6bf5d38468248408541eddc801650d377dfa7
964aa393a3cf5e1ecaef048707ea9041,b053dd672b5c41a0c952eafa2f085f5882e59d13ee77a73b224169b478d55828,0ae455fe41fdee5c0198a92e92f751f5b3f856478be73e1d55efdb529cf9b2f5
d045eba122caf55149b721a0fad98338,d3e0258397903e2bd36f6c4790a1cbd7cdb3bce3cf4ef1e1bf671d7d141ab6c0,1a0753a1e7f38e967bcee26ab84175bbe7ddd75384776ff9e2672a875e41c949
6de67ff074604c2e1ba0528d0019907f,ca129df4cdbc67266fb37fb25b8fd6420cc715ba85e26e70a221fc87ba8b61df,28c3fc32b8516ae064c12a76a061b01749764c4aeeceb460bbbff539aa30e5da
0827c2eca70b84e315c7df74a78c2a32,79f4b819e523e46944e31d317ccf694482f483b2f84b69c3fcac0ea7858538e4,5085f0e5ff6313be83926b95bda2ed23b3779117aedb78af6f21bcac3dc660ba
90d55539ed7ac3ffb906aa1a766d6ec0,e09cf6b342479cbf869dac887eff30c10e5d48ca515af5cbca51b029e2fd2ebc,8c53f25839615e7e60f484894771c785f8ee052dc833b40088b45a218e0e8664
b33ff8cece92780d21e4dee646b82b41,d23cfbe00a111b93f313c7b9efe36fbd4ea2ce8ec87624c76302a127c18213b6,78fe43c4142867735aef5f8d5b216012e13eb22608103c868d6a91b5e68f83d1
3b6b2e2916b7510c1c4ee275c7751616,6715ab0caf347c9e18a9272be1218c776617e4ccc0d1de354ee1418f35a585af,67f733eba2b1aa7e0c9b46344591277523604c614bde633109ce418e75aaa670
3d9fd8b867d3a4536818b5d0666143f3,6170f707c9d5d86cf0d0bdbbbea9dbb8e4bcb8e00a9354f666501af8539a5ddd,25e9a9c929fcb18a69a4f4ed089a6b3c80dd095a79d3a04863f61253a85eebc3
0965dc30773f24c99ffc4c3b6aabf084,bc84f877c58c16719abbedfdb7b58731f4d67237f495795a1d4aecb475a7615c,1304dcb8c29f32616b744a33240cf00ffa9f08b51e9d0a4186cd650d176fce88
dc306277205450ea90dd17a710bf1387,c136195c65321c0e4d6bf53b6147b72257009f4a4e5ab52a679d67c058ecbab4,bd83724c248de45b45362443041b8a4070a21fd2f1838a4c24d5e01e795816ae
582cc3fd7b45f492f3b3192adf202e35,05d7d1cbf8089513f855af8ea9bec14fd87076e059a9d49ebc05c380f7fcb3af,376da6c9194fb5a41815f6c04d6edc94609521016554865258294d07e4b1d342
503a0e15ba6f286604467a665d6efa93,2280ae17e6735d6fc99213a25f6290a1c1e3802501eaba7a0dddf67b497d0319,1d68df6950a03a7d0f880d910e8f9fface977cfe902b88b165b29a9202c22c88
82f37dc58559b26402c891fb10562dfc,9ac0390678400f187d382c766e69698259bf8f5dd5173f0d73c7dddadee7d671,dff142042e65310758ca35fe48fb81252509e05d38fc99556e303919f04d8e68
da9ebe4998a32d154115f3b3815a5b34,ee8e436b2c617507479de4008b928883fee66404b3855e7c7cc679b439a37032,097dc7d4d22b1413780b93e791dd5029efede415b95d245fa8472132a57847f1
